yq,label,total,all_markers,collapsing,rising
2022.0,2022Q1,4068.0,0.07841691248770895,0.04129793510324484,0.03638151425762045
2022.25,2022Q2,4146.0,0.07501205981669079,0.04293294741919923,0.031596719729860105
2022.5,2022Q3,4452.0,0.08849955076370171,0.04851752021563342,0.038858939802336026
2022.75,2022Q4,4476.0,0.09294012511170688,0.044906166219839144,0.0466934763181412
2023.0,2023Q1,4266.0,0.09540553211439287,0.051570557899671826,0.0426629160806376
2023.25,2023Q2,4297.0,0.1112404002792646,0.06120549220386316,0.0491040260646963
2023.5,2023Q3,4702.0,0.14568268821777966,0.06997022543598469,0.07294768183751595
2023.75,2023Q4,4738.0,0.15365132967496833,0.07429295061207261,0.07788096243140566
2024.0,2024Q1,4408.0,0.19192377495462795,0.08870235934664247,0.10072595281306715
2024.25,2024Q2,4905.0,0.20998980632008155,0.09745158002038735,0.10968399592252803
2024.5,2024Q3,4808.0,0.20861064891846923,0.09629783693843594,0.10981697171381032
2024.75,2024Q4,5105.0,0.23251714005876592,0.10186092066601371,0.12889324191968657
2025.0,2025Q1,4932.0,0.2526358475263585,0.10077047850770479,0.15004055150040552
2025.25,2025Q2,5094.0,0.2524538672948567,0.08794660384766392,0.16274047899489597
2025.5,2025Q3,5832.0,0.23251028806584362,0.07544581618655692,0.1558641975308642
2025.75,2025Q4,6011.0,0.232573615039095,0.07436366661121277,0.15538180003327234
2026.0,2026Q1,5455.0,0.20256645279560037,0.06856095325389551,0.13308890925756187
2026.25,2026Q2,6008.0,0.20256324900133155,0.0660785619174434,0.13548601864181092
